titolo_film,anno_film,genere_cinematografico,forma_generale,numero_occhi,forma_testa,texture_superficiale,numero_arti,dimensione_rispetto_umano,colore_dominante,abbigliamento,volto_riconoscibile,tono_dominante,dettagli_secondari,prompt_ai,file
Giochi stellari,1984,Fantascienza,umanoide,2,ovale,pelle,sconosciuto,simile,marrone,sì,sì,neutro,"casco da pilota, pelle squamosa, tuta spaziale, collare pressurizzato","Alieno umanoide con 2 occhi, testa ovale, texture pelle, numero di arti sconosciuto, dimensione simile, colore marrone, con abbigliamento, volto riconoscibile e tono neutro.",the_last_starfighter-1024x768.jpg
Green Lantern,2011,"Azione, Fantascienza, Supereroi",ibrido,2,allungata,pelle,4,simile,giallo,sì,sì,neutro,"cresta sulla testa, becco da uccello, occhi grandi, pelle giallastra, uniforme verde, sporgenze ossee sulle guance","alieno ibrido con 2 occhi, testa allungata, texture pelle, 4 arti, colore giallo, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono neutro.",35b348484a11d9f45fb477af6e106762ac9a0105495b09fb6320dcdc387e909d.jpg
sconosciuto,sconosciuto,sconosciuto,ibrido,multipli,indefinita,organico,più di 4,gigante,verde-marrone,no,sì,neutro,"tentacoli bioluminescenti, pinne anteriori, testa a martello, occhi multipli luminosi, pelle corazzata, subacqueo","alieno ibrido con multipli occhi, testa indefinita, texture organico, più di 4 arti, colore verde-marrone, dimensione gigante, abbigliamento no, volto riconoscibile sì, tono neutro.",1*fjsTCg4Cgz8w2KSJDTFixA.jpg
Home - A casa,2015,"animazione, commedia, avventura",ibrido,2,bulbosa,pelle,più di 4,più piccolo,viola,sì,sì,empatico,"sei gambe, orecchie arricciate, gilet blu, occhi grandi","alieno ibrido con 2 occhi, testa bulbosa, texture pelle, più di 4 arti, colore viola, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono empatico.",images.jpeg
Star Wars: Episodio I - La minaccia fantasma,1999,Fantascienza,umanoide,2,allungata,pelle,4,più grande,Beige,sì,sì,neutro,"Orecchie lunghe, occhi su peduncoli, pelle maculata, gilet di pelle, muso da anatra, lancia","Alieno umanoide con 2 occhi, testa allungata, texture pelle, 4 arti, colore beige, dimensione più grande, abbigliamento sì, volto riconoscibile sì, tono neutro.",tpm0.jpg
Mars Attacks!,1996,"Fantascienza, Commedia",umanoide,2,bulbosa,organico,4,più piccolo,verde,sì,sì,minaccioso,"cervello esposto, occhi sporgenti, casco trasparente, tuta spaziale verde, denti scoperti","alieno umanoide con 2 occhi, testa bulbosa, texture organico, 4 arti, colore dominante verde, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",marsattacks_1280x720.jpg
La guerra di domani,2021,"Fantascienza, Azione",mostruoso,sconosciuto,allungata,organico,più di 4,più grande,bianco sporco,no,sì,minaccioso,"bocca spalancata, tentacoli dorsali, spine sul dorso, quattro zampe, pelle chiara","Alieno mostruoso con numero di occhi sconosciuto, testa allungata, texture organica, più di 4 arti, colore bianco sporco, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono minaccioso.",White_Spike_main.jpg
Independence Day,1996,Fantascienza d'azione,umanoide,2,bulbosa,organico,4,più piccolo,grigio scuro,sì,sì,minaccioso,"occhi grandi e neri, pelle umida, testa bulbosa, riflessi lucidi","Alieno umanoide con 2 occhi, testa bulbosa, texture organica, 4 arti, colore grigio scuro, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",images-2.jpeg
La Cosa,2011,"Horror, Fantascienza",mostruoso,2,indefinita,organico,sconosciuto,simile,marrone,no,sì,minaccioso,"occhi viola luminosi, denti aguzzi, pelle scorticata, ferite aperte, orecchie feline, baffi simili a tentacoli","Alieno mostruoso con 2 occhi, testa indefinita, texture organica, numero di arti sconosciuto, colore marrone, dimensione simile, abbigliamento no, volto riconoscibile sì, tono minaccioso.",MV5BOTBhYTY5YWMtNTRjOS00NmIyLWJhZGQtNmQ0ZGEyMTE0MDRiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Scary Movie 3,2003,"Commedia, Parodia",umanoide,2,bulbosa,pelle,4,simile,Marrone/Grigio,no,sì,comico,"pelle rugosa, testa grande, occhi neri, denti aguzzi, corpo esile, effetto luminoso blu","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore Marrone/Grigio, dimensione simile, abbigliamento no, volto riconoscibile sì, tono comico.",hqdefault.jpg
Signs,2002,"Fantascienza, Thriller",umanoide,2,allungata,pelle,4,più grande,marrone verdastro,no,sì,minaccioso,"collo lungo, corpo magro e muscoloso, dita lunghe, occhi grandi e scuri, pelle liscia","alieno umanoide con 2 occhi, testa allungata, texture pelle, 4 arti, colore marrone verdastro, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono minaccioso.",MV5BZjQ3NGMwODItMGExNy00ZWE5LWFkMDctMzE3ZmJiOWU0MTZiXkEyXkFqcGc@._V1_.jpg
L'uomo che cadde sulla Terra,1976,"Fantascienza, Drammatico",umanoide,2,ovale,organico,4,simile,rosa pallido,sì,sì,drammatico,"tuta aderente, motivo a rete, tubi trasparenti, testa calva, zaino metallico, pelle pallida, dita lunghe","alieno umanoide con 2 occhi, testa ovale, texture organico, 4 arti, colore rosa pallido, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono drammatico.",kxsf9xX.jpg
Annientamento,2018,"Fantascienza, horror",astratto,0,assente,organico,0,più grande,"verde, dorato",no,no,minaccioso,"struttura frattale, bioluminescenza, superficie cangiante, forma amorfa, nucleo luminoso","alieno astratto con 0 occhi, testa assente, texture organico, 0 arti, colore verde, dorato, dimensione più grande, abbigliamento no, volto riconoscibile no, tono minaccioso.",funky_cloud.jpg
Blair Witch,2016,Horror,mostruoso,2,allungata,organico,più di 4,più grande,grigio,no,sì,minaccioso,"denti affilati, zanne lunghe, arti da ragno, schiena spinosa, aspetto scheletrico","alieno mostruoso con 2 occhi, testa allungata, texture organico, più di 4 arti, colore grigio, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono minaccioso.",screen_shot_2023-10-18_at_1.18.22_pm_0.jpg.jpg
Blob,1958,"Fantascienza, Horror",astratto,0,assente,organico,0,gigante,rosso,no,no,horror,"massa gelatinosa, amorfo, ingloba oggetti, superficie irregolare, colore rossastro","alieno astratto con 0 occhi, testa assente, texture organico, 0 arti, colore rosso, dimensione gigante, abbigliamento no, volto riconoscibile no, tono horror.",MV5BMTIwOTAyMDc1Ml5BMl5BanBnXkFtZTYwMDUzMTQ5._V1_.jpg
Alien - La clonazione,1997,fantascienza horror,ibrido,2,bulbosa,pelle,4,più grande,beige-verdastro,no,sì,horror,"pelle pallida, arti allungati, occhi scuri, corpo esile, postura accovacciata","Alieno ibrido con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore beige-verdastro, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono horror.",Dren4.jpg
sconosciuto,sconosciuto,Fantascienza,umanoide,2,bulbosa,pelle,4,sconosciuto,Verde,no,sì,minaccioso,"occhi grandi neri, testa calva, corpo magro, pelle screpolata, UFO luminoso","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore Verde, dimensione sconosciuto, abbigliamento no, volto riconoscibile sì, tono minaccioso.",video_bc6319131662112.jpg
sconosciuto,sconosciuto,Fantascienza,umanoide,2,bulbosa,pelle,sconosciuto,sconosciuto,verde,no,sì,minaccioso,"occhi grandi neri, testa allungata, pelle liscia, bocca sottile, collo esile, illuminazione verde","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, numero arti sconosciuto, dimensione rispetto umano sconosciuta, colore dominante verde, abbigliamento no, volto riconoscibile sì, tono minaccioso.",alieni-orig.jpg
sconosciuto,sconosciuto,fantascienza,umanoide,sconosciuto,bulbosa,sconosciuto,4,simile,blu,no,no,minaccioso,"silhouette, braccia lunghe e sottili, testa grande, forte controluce, atmosfera nebbiosa","Alieno umanoide con testa bulbosa, 4 arti, dimensione simile a un umano, colore dominante blu, senza abbigliamento, volto non riconoscibile, dal tono minaccioso.",Dark_skies.jpg
sconosciuto,sconosciuto,sconosciuto,umanoide,2,ovale,pelle,4,sconosciuto,nero,no,sì,minaccioso,"pelle nera, corpo magro, testa calva, foresta buia, spalle ossute","Alieno umanoide con 2 occhi, testa ovale, texture pelle, 4 arti, colore nero, dimensione sconosciuto, abbigliamento no, volto riconoscibile sì, tono minaccioso.",maxresdefault.jpg
District 9,2009,Fantascienza,umanoide,sconosciuto,indefinita,insettoide,sconosciuto,simile,grigio-bluastro,no,sì,drammatico,"esoscheletro, membrane traslucide, vene scure visibili, placche chitinose, aspetto umido","Alieno umanoide con numero di occhi sconosciuto, testa indefinita, texture insettoide, numero di arti sconosciuto, colore grigio-bluastro, dimensione simile a quella umana, senza abbigliamento, volto riconoscibile, tono drammatico.",5884886461153482.jpg
Alien,1979,"Fantascienza, Horror",ibrido,0,allungata,insettoide,4,più grande,Nero,no,no,minaccioso,"coda lunga e segmentata, testa allungata, esoscheletro biomeccanico, artigli affilati, colonna vertebrale esterna","Alieno ibrido con 0 occhi, testa allungata, texture insettoide, 4 arti, colore nero, dimensione più grande, abbigliamento no, volto riconoscibile no, tono minaccioso.",image01.jpg
They Live,1988,"Fantascienza, Horror, Azione",umanoide,2,ovale,organico,4,simile,"blu, rosso",sì,sì,minaccioso,"teschio a vista, muscolatura esposta, occhi sporgenti, abito elegante, capelli biondi, denti scoperti","Alieno umanoide con 2 occhi, testa ovale, texture organica, 4 arti, colore dominante blu, rosso, dimensione simile a un umano, con abbigliamento, volto riconoscibile e tono minaccioso.",they-live-md-web.jpg
District 9,2009,"Fantascienza, Azione",umanoide,multipli,allungata,insettoide,sconosciuto,simile,marrone scuro,sì,sì,minaccioso,"esoscheletro, occhi multipli a lente, luce rossa, componenti meccaniche, mandibole esterne","Alieno umanoide con occhi multipli, testa allungata, texture insettoide, di dimensione simile a un umano, colore dominante marrone scuro, dotato di abbigliamento, con volto riconoscibile e un tono minaccioso.",FE3B7509-444D-46F4-9265-4EF261A45972.jpg
E.T. l'extra-terrestre,1982,Fantascienza,umanoide,2,bulbosa,pelle,4,più piccolo,marrone,no,sì,empatico,"grandi occhi blu, collo lungo, pelle rugosa, dita lunghe, pianta in vaso, cielo stellato","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore marrone, dimensione più piccolo, abbigliamento no, volto riconoscibile sì, tono empatico.",etposterRaisedRelief.webp.jpeg
sconosciuto,sconosciuto,sconosciuto,ibrido,sconosciuto,allungata,pelle,più di 4,più grande,beige,no,no,minaccioso,"ali membranose, testa a martello, due code prensili, denti aguzzi, pelle screziata, zampe artigliate","alieno ibrido con numero di occhi sconosciuto, testa allungata, texture pelle, più di 4 arti, colore beige, dimensione più grande, abbigliamento no, volto riconoscibile no, tono minaccioso.",Bioraptor-Pitch-Black.jpg
Avatar: La via dell'acqua,2022,"fantascienza, azione, avventura",umanoide,2,ovale,pelle,più di 4,più grande,blu,sì,sì,drammatico,"pelle blu a strisce, coda lunga, occhi gialli, orecchie a punta, capelli intrecciati","Alieno umanoide con 2 occhi, testa ovale, texture di pelle, più di 4 arti, colore dominante blu, dimensione più grande rispetto a un umano, con abbigliamento, volto riconoscibile e tono drammatico.",MV5BYTUyODRmYzktNTg2MS00MmEzLTlhNzgtZGMxMjVjYjgyOGI2XkEyXkFqcGc@._V1_.jpg
sconosciuto,sconosciuto,sconosciuto,umanoide,2,bulbosa,pelle,4,più piccolo,grigio-violaceo,no,sì,neutro,"occhi grandi neri, corpo esile, testa grande, pelle screziata, collo lungo, dita lunghe","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore grigio-violaceo, dimensione più piccolo, abbigliamento no, volto riconoscibile sì, tono neutro.",spacealienscollection23dsmodel015.jpg
Mars Attacks!,sconosciuto,"Fantascienza, Commedia",umanoide,2,bulbosa,organico,4,sconosciuto,Rosso,sì,sì,comico,"cervello esposto, occhi rossi sporgenti, elmo di vetro, dischi volanti, veste rossa, tuta spaziale verde, pistola laser","alieno umanoide con 2 occhi, testa bulbosa, texture organico, 4 arti, colore dominante Rosso, dimensione sconosciuto, abbigliamento sì, volto riconoscibile sì, tono comico.",image02.jpg
Doctor Who,2005,Fantascienza,umanoide,2,bulbosa,pelle,sconosciuto,più piccolo,marrone,sì,sì,minaccioso,"pelle rugosa, pitture facciali rosse, fucile a doppia canna, occhi arancioni, narici larghe, espressione aggressiva","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, numero arti sconosciuto, colore marrone, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",r1btrp0gk4nez4snbo3r.jpg
Star Trek: Short Treks,2018,Fantascienza,umanoide,2,allungata,pelle,4,simile,rosso,sì,sì,drammatico,"pinne sulla testa, simboli energetici luminosi, pelle rossa, mani grandi, occhi scuri, collana","Alieno umanoide con 2 occhi, testa allungata, texture pelle, 4 arti, colore rosso, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono drammatico.",Krugarr-0.jpg
Aliens vs. Predator: Requiem,2007,"Azione, fantascienza, horror",umanoide,2,bulbosa,metallo,4,più grande,grigio-blu,sì,sì,minaccioso,"maschera metallica, occhio rosso luminoso, lame da polso, dreadlocks tubolari, armatura, cannone a spalla","Alieno umanoide con 2 occhi, testa bulbosa, texture superficiale di metallo, 4 arti, colore dominante grigio-blu, dimensione più grande di un umano, indossa abbigliamento, ha un volto riconoscibile e un tono minaccioso.",Aliens vs Predator_Äì_Requiem.jpg
Plan 9 from Outer Space,1959,fantascienza,umanoide,2,ovale,pelle,4,simile,viola,sì,sì,minaccioso,"uniformi viola, colletti alti, dischi volanti, cimitero, raggi di luce","alieno umanoide con 2 occhi, testa ovale, texture pelle, 4 arti, colore dominante viola, dimensione simile a un umano, con abbigliamento, volto riconoscibile e tono minaccioso.",MV5BMTg1MDM5OTU0Nl5BMl5BanBnXkFtZTcwMjk5NzEzMQ@@._V1_.jpg
Paul,2011,"Commedia, Fantascienza",umanoide,2,bulbosa,pelle,4,più piccolo,grigio,sì,sì,comico,"occhi grandi, corpo esile, pantaloni corti, zaino, pelle liscia","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore grigio, dimensione più piccolo, abbigliamento sì, volto riconoscibile sì, tono comico.",locandina.jpg
Fire in the Sky,1993,"Fantascienza, Horror, Biografico",umanoide,2,bulbosa,pelle,4,più piccolo,marrone,no,sì,horror,"pelle rugosa, occhi scuri, strumenti medici, luce arancione, espressione seria, senza capelli","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore marrone, dimensione più piccolo, abbigliamento no, volto riconoscibile sì, tono horror.",img_3592-1.jpg
Alien,1979,"Fantascienza, Horror",mostruoso,0,allungata,insettoide,4,più grande,verde,no,sì,minaccioso,"testa allungata, esoscheletro visibile, denti, artigli, postura curva, pixel art","Alieno mostruoso con 0 occhi, testa allungata, texture insettoide, 4 arti, colore verde, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono minaccioso.",screenshot_07.jpg
Dune,2021,fantascienza,umanoide,2,ovale,pelle,sconosciuto,simile,marrone,sì,sì,drammatico,"occhi blu brillanti, tubo nasale, capelli scuri, sciarpa beige, sfondo roccioso, sguardo intenso","alieno umanoide con 2 occhi, testa ovale, texture pelle, numero di arti sconosciuto, colore marrone, dimensione simile, con abbigliamento, volto riconoscibile, tono drammatico.",Zendaya-in-Dune.jpeg.jpg
Europa Report,2013,"Science fiction, Thriller",mostruoso,multipli,indefinita,organico,più di 4,gigante,blu,no,no,minaccioso,"tentacoli, bioluminescenza, luci blu, ambiente acquatico, occhio rosso","alieno mostruoso con multipli occhi, testa indefinita, texture organico, più di 4 arti, colore blu, dimensione gigante, abbigliamento no, volto riconoscibile no, tono minaccioso.",sddefault.jpg
Cocoon,1985,"Fantascienza, Drammatico",umanoide,2,allungata,traslucido,0,sconosciuto,giallo chiaro,no,sì,empatico,"corpo luminoso, occhi grandi, pupille rosse, bocca abbozzata, aura gialla, sfondo cosmico","alieno umanoide con 2 occhi, testa allungata, texture traslucido, 0 arti, colore giallo chiaro, dimensione sconosciuto, abbigliamento no, volto riconoscibile sì, tono empatico.",1634277065.748.w355.Ewms.jpg
Jupiter Ascending,2015,Fantascienza/Azione,ibrido,2,ovale,pelle,più di 4,più grande,Verde scuro,sì,sì,minaccioso,"ali da pipistrello, pelle squamosa, armatura tecnologica, arma futuristica, artigli sulle ali, muscolatura definita","Alieno ibrido con 2 occhi, testa ovale, texture di pelle, più di 4 arti, colore verde scuro, dimensione più grande di un umano, con abbigliamento, volto riconoscibile e tono minaccioso.",Greeghan.jpg
Men in Black,1997,"Fantascienza, Commedia",ibrido,sconosciuto,indefinita,insettoide,4,più piccolo,rosso,no,no,comico,"esoscheletro, antenne spinose, chele, corpo segmentato, colore rossastro","Alieno ibrido con numero di occhi sconosciuto, testa indefinita, texture insettoide, 4 arti, colore rosso, dimensione più piccolo, abbigliamento no, volto riconoscibile no, tono comico.",Screenshot 2025-11-19 alle 10.52.08.jpg
Predator,1987,"Azione, Fantascienza, Horror",umanoide,sconosciuto,bulbosa,artificiale,4,più grande,nero,sì,no,minaccioso,"elmo metallico, dreadlocks, cannone a spalla, lame da polso, armatura, rete corporea, puntatore laser rosso","Alieno umanoide con un numero di occhi sconosciuto, testa bulbosa, texture artificiale, 4 arti, colore nero, dimensione più grande di un umano, con abbigliamento, volto non riconoscibile e tono minaccioso.",$_57.JPG
Slave Girls from Beyond Infinity,1987,"Fantascienza, Azione",umanoide,2,allungata,organico,4,simile,verde scuro,sì,sì,minaccioso,"pelle scagliosa, vestaglia rossa, medaglione d'oro, frustino, creste sulla testa","alieno umanoide con 2 occhi, testa allungata, texture organico, 4 arti, colore verde scuro, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",tumblr_n0uqzads241rze0r3o1_500.JPG
Alien: Covenant,2017,"Fantascienza, Horror",umanoide,0,allungata,insettoide,4,più grande,nero,no,no,minaccioso,"testa allungata, denti affilati, corpo biomeccanico, tubi dorsali","alieno umanoide con 0 occhi, testa allungata, texture insettoide, 4 arti, colore nero, dimensione più grande, abbigliamento no, volto riconoscibile no, tono minaccioso.",Alien_Covenant.jpg
Minotaur,2006,Fantasy / Horror,ibrido,2,indefinita,organico,4,più grande,marrone-rossastro,no,sì,drammatico,"corna ricurve, pelo arruffato, pelle rossastra, muscolatura imponente, volto bestiale","alieno ibrido con 2 occhi, testa indefinita, texture organica, 4 arti, colore marrone-rossastro, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono drammatico.",images-4.jpeg
Farscape,1999,Fantascienza,umanoide,2,ovale,pelle,4,simile,blu,sì,sì,empatico,"pelle blu, testa calva, collare di cristalli, unghie scure, anelli","alieno umanoide con 2 occhi, testa ovale, texture pelle, 4 arti, colore dominante blu, dimensione simile a un umano, con abbigliamento, volto riconoscibile e tono empatico.",Ey0imWnU4AAd91s.JPG
sconosciuto,sconosciuto,sconosciuto,umanoide,2,bulbosa,pelle,sconosciuto,sconosciuto,grigio,no,sì,minaccioso,"occhi grandi e neri, cranio allargato, pelle grigia, naso piccolo, bocca sottile, collo magro","Alieno umanoide con 2 occhi, testa bulbosa, texture di pelle, numero arti sconosciuto, colore dominante grigio, dimensione rispetto a un umano sconosciuta, senza abbigliamento, con volto riconoscibile e tono minaccioso.",mtqcds8c36631.jpg
Star Trek Beyond,2016,Fantascienza,umanoide,2,allungata,pelle,4,simile,blu e arancione,sì,sì,neutro,"pelle striata, collare tecnologico, linee blu luminose, occhi gialli","alieno umanoide con 2 occhi, testa allungata, texture pelle, 4 arti, colore blu e arancione, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono neutro.",M_39_SG2_Kortan_Dahuks_rgb.jpg.jpg
sconosciuto,sconosciuto,sconosciuto,umanoide,2,allungata,insettoide,più di 4,sconosciuto,blu/viola,no,sì,minaccioso,"denti affilati, testa allungata, esoscheletro, tubi, gabbia toracica esterna","Alieno umanoide con 2 occhi, testa allungata, texture insettoide, più di 4 arti, colore dominante blu/viola, dimensione sconosciuta, abbigliamento no, volto riconoscibile sì, tono minaccioso.",2367847-a2600_xenophobe_none.JPG
Aliens,1986,"Fantascienza, Azione, Horror",ibrido,0,allungata,organico,più di 4,più grande,nero,no,no,minaccioso,"esoscheletro biomeccanico, testa allungata, denti affilati, bava, coda segmentata, tubi dorsali","alieno ibrido con 0 occhi, testa allungata, texture organico, più di 4 arti, colore nero, dimensione più grande, abbigliamento no, volto riconoscibile no, tono minaccioso.",p9384_v_h10_aa.jpg
Evolution,2001,"Fantascienza, Commedia",animale,2,bulbosa,pelle,4,più piccolo,verde,no,sì,empatico,"pelle rugosa, occhi azzurri, corpo tozzo, zampe corte, branchie laterali, muso schiacciato","alieno animale con 2 occhi, testa bulbosa, texture pelle, 4 arti, colore verde, dimensione più piccolo, abbigliamento no, volto riconoscibile sì, tono empatico.",09.jpg
La guerra dei mondi,2005,"Fantascienza, Thriller",mostruoso,1,bulbosa,artificiale,sconosciuto,gigante,grigio metallico,no,no,minaccioso,"tripode, gambe lunghe, occhio luminoso blu, corpo bulboso, superficie metallica","Alieno mostruoso con 1 occhio, testa bulbosa, texture artificiale, numero di arti sconosciuto, colore grigio metallico, dimensione gigante, abbigliamento no, volto riconoscibile no, tono minaccioso.",screenshot_08.jpg
Alien Extinction,sconosciuto,Fantascienza horror,umanoide,2,bulbosa,pelle,sconosciuto,sconosciuto,grigio,sì,sì,minaccioso,"pelle grinzosa, occhi bianchi, testa calva, giacca scura, naso assente, mirino","alieno umanoide con 2 occhi, testa bulbosa, texture pelle, numero arti sconosciuto, colore grigio, dimensione sconosciuto, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",7a704a1d03a406889d2a83cf7cbd815a250eba9b6ae042603ad52ea1fe2986e0.jpg
Alien Extinction,sconosciuto,"Fantascienza, Horror",umanoide,2,bulbosa,pelle,sconosciuto,sconosciuto,grigio,sì,sì,minaccioso,"pelle rugosa, occhi bianchi, mirino, ponte sullo sfondo, giacca scura, bocca deforme","Alieno umanoide con 2 occhi, testa bulbosa, texture pelle, numero di arti sconosciuto, colore dominante grigio, dimensione sconosciuta rispetto all'umano, con abbigliamento, volto riconoscibile, tono minaccioso.",7a704a1d03a406889d2a83cf7cbd815a250eba9b6ae042603ad52ea1fe2986e0.png
Dune: Part Two,2024,Fantascienza epica,umanoide,2,ovale,pelle,4,simile,Grigio pallido,sì,sì,minaccioso,"pelle pallida, testa calva, senza sopracciglia, sguardo intenso, abito scuro","alieno umanoide con 2 occhi, testa ovale, texture pelle, 4 arti, colore grigio pallido, dimensione simile, abbigliamento sì, volto riconoscibile sì, tono minaccioso.",87jZEVp4FW6GwTx56mbbqIQQF75.jpg
Galaxy Quest,1999,"Commedia, Fantascienza",mostruoso,2,allungata,pelle,4,più grande,marrone,no,sì,minaccioso,"bocca enorme, denti affilati, spine sul dorso, pelle rugosa, zampe tozze","alieno mostruoso con 2 occhi, testa allungata, texture pelle, 4 arti, colore marrone, dimensione più grande, abbigliamento no, volto riconoscibile sì, tono minaccioso.",MV5BNjg2NTY5OTI2OF5BMl5BanBnXkFtZTYwMjUxMjk2._V1_.jpg
